Site,1,2,3,4,5
F0069,1613626.865722654,5199955.098632807,255001.40625,0.0,0.0
F0025,412752.692382813,1638609.95117188,5017220.670410155,0.0,0.0
F0027,274174.586425781,3581889.6118164016,3212519.16210938,0.0,0.0
B0128,7021340.27993775,47243.0749511719,0.0,0.0,0.0
F0023,255925.385253906,3566308.463867187,2961621.134765625,0.0,284728.392578125
F0071,350233.251220703,4251895.859130859,1822475.207275391,0.0,643979.018310547
F0073,0.0,1019290.86791992,6049292.49145508,0.0,0.0
B0061,145892.263458252,673049.193389893,6249641.894897459,0.0,0.0
F0001,474026.984375,3019274.703124999,3575281.7104492188,0.0,0.0
B0142,6478879.101715093,589704.2518920895,0.0,0.0,0.0
F0037,5993590.755859371,0.0,184345.0190429685,50866.2705078125,839781.26953125
B0116,6707084.921356199,0.0,361498.434295654,0.0,0.0
B0012,6038409.153778076,290404.2054138181,253441.670043945,0.0,486328.32611084
F0019,3490280.580322267,2824458.1520996103,753844.611083984,0.0,0.0
F0020,4005514.256347659,2730966.1845703092,180261.079833984,0.0,151841.849609375
F0041,4020489.6318359375,3048093.76074219,0.0,0.0,0.0
F0043,3338600.728515626,3729982.66210937,0.0,0.0,0.0
F0075,2133363.3945312523,4935219.98779297,0.0,0.0,0.0
F0065,7068583.328124992,0.0,0.0,0.0,0.0
F0067,3155735.8740234384,338890.1308593755,3573957.357177736,0.0,0.0
B0163,7068583.353485106,0.0,0.0,0.0,0.0
B0140,6916336.764892573,0.0,0.0,0.0,152246.591766357
B0045,3211755.70004273,2307903.420776363,612640.713012695,306948.947723389,629334.574371338
B0041,3566139.7429504343,3500995.9627380436,1447.64553833008,0.0,0.0
B0037,2005507.0629577632,4718794.872863777,344281.4198303225,0.0,0.0
B0043,1757994.030578609,5073884.75057983,0.0,0.0,236704.572143555
B0039,4107825.571350097,1493814.5014038081,354435.544464111,348763.866577148,763743.869049072
F0035,0.0,2241128.592041019,4827454.778320309,0.0,0.0
B0059,1497530.677215577,4480971.200042728,631784.0987854,0.0,458297.38104248
B0093,1020892.884948731,5660021.89840699,387668.571655273,0.0,0.0
F0055,3274818.5722656227,2877458.97363281,916305.840332031,0.0,0.0
F0057,4115296.7832031297,2953286.56689453,0.0,0.0,0.0
F0017,238272.635498047,6830310.713867179,0.0,0.0,0.0
F0021,295691.775390625,4458957.170898432,2313934.41796875,0.0,0.0
F0029,2401981.90625,4262398.682128908,404202.673339844,0.0,0.0
F0033,28109.7490234375,1436800.607421875,5603672.980468751,0.0,0.0
F0031,342201.266601562,4599301.83740234,2127080.28759766,0.0,0.0
B0096,5206697.24020386,1642365.644592286,219520.472015381,0.0,0.0
B0023,194534.061431885,914975.638549805,4150011.724456791,1809061.9331665,0.0
B0017,1758775.5476379388,1596366.485748291,3713441.3203430213,0.0,0.0
B0021,0.0,269517.652557373,5856919.352539064,942146.348846436,0.0
B0019,0.0,0.0,6689946.3342590295,378637.021270752,0.0
B0077,549243.655517578,6519339.6978149405,0.0,0.0,0.0
B0105,1190847.730285645,5877735.622711183,0.0,0.0,0.0
B0103,1654453.9924316392,3345669.393310548,2068459.969909668,0.0,0.0
F0039,716534.069335938,5515695.658203124,836353.643554687,0.0,0.0
B0032,3276606.22570801,2588230.238311764,1203746.890472412,0.0,0.0
F0045,6505367.8918457,225684.967529297,0.0,0.0,337530.494384766
F0059,213146.641845703,6187825.916503906,667610.79296875,0.0,0.0
F0061,2837504.989257813,1746140.307128904,2484938.06420898,0.0,0.0
F0063,341978.485351562,4975386.898193362,1751217.98632813,0.0,0.0
FE0001,406681.891113281,6442268.73583984,219632.734863281,0.0,0.0
B0067,1227035.60229492,5507142.226379385,334405.526306152,0.0,0.0
F0013,917192.881347656,2797724.445800781,3353665.9912109384,0.0,0.0
F0015,309985.414550781,0.0,6758597.91894531,0.0,0.0
F0005,388781.343261719,1365657.318847655,5314144.68164062,0.0,0.0
F0009,73399.2255859375,4907537.461914058,2087646.669433598,0.0,0.0
F0011,317341.701660156,2514704.0761718797,4236537.560546876,0.0,0.0
F0007,0.0,3801293.257812505,3267290.0566406213,0.0,0.0
B0069,1148526.206695557,5681677.677154543,238379.470031738,0.0,0.0
B0152,5349351.877166748,1377614.6203308117,341616.85824585,0.0,0.0
F0003,342511.602539063,646223.65625,6079848.077636719,0.0,0.0
B0158,464918.02709961,6603665.331970214,0.0,0.0,0.0
