,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist
classCLC2,11,12,13,14,21,22,23,24,31,32,33,41,42,51,52
Site,,,,,,,,,,,,,,,
B0012,678.4656681940476,117.2201484691565,,,,,,1087.774121913763,934.164040588688,,,,,55.2626566693585,
B0017,230.733941761742,1457.20943838533,,,,,195.472480466665,1046.4312807225958,792.501379816565,,,,,,
B0019,,,,,,,,,662.515290723606,,,462.433521545581,,,
B0021,,,,,,,1193.174293870115,,560.864626656692,,,365.900870716593,,,
B0023,,,,1223.36865421085,,,301.686589996353,,802.3628379850111,760.607640258828,,0.0,,,
B0032,10.4160471262646,311.589696811956,,,870.0148808181445,,,939.5994952644993,387.64801667408346,,,,,,
B0037,136.27430090514,,,794.061656144034,698.9749753376065,,1198.6422938538872,815.34305345924,883.4412644421086,,,,,,
B0039,112.213068762443,,,724.009475607691,1164.6997219021587,,474.872369109748,998.3639046290174,,,663.948530917512,,844.097621683409,,984.07639841379
B0041,350.6847781633545,1169.09058993813,,1132.87656825365,601.2569077297455,,1037.7126396301744,432.94100522768485,,,1491.36839309045,,,,
B0043,731.6086031655428,756.318161089015,,,0.0,,758.777515573412,475.611770034491,,,,,,669.86424692184,
B0045,531.313737850755,986.272081193034,,,288.860277849019,,928.3913843170326,583.345455302605,,,825.676022475835,,1041.45556463847,1222.4079197753,1217.2243288662
B0059,1096.9945964230878,622.8552215423094,,,597.1693149263496,,574.4682856428633,1140.970100679088,677.08567396925,,,,,152.035270163793,
B0061,1190.29847276201,,,,,,908.024568255178,947.313295689361,502.4019999148537,1272.41550882662,,,,,
B0067,23.7288293966762,,,,883.4371089676,,,561.1213903833777,896.567272655197,,,,,,
B0069,118.766273627396,,,324.832752692619,910.84618161845,,381.929258541811,411.7152456760503,1181.266491610094,,,,,,
B0077,1050.7773006859782,1339.69403105538,,,85.282913931737,,,888.8477019669208,,,,,,,
B0093,346.805187679282,,47.4689297643832,,901.9386647536572,,1118.2368798111313,623.3398495868063,186.426297435342,,,,,,
B0096,0.0,,,,1157.179684905296,,,882.9145810122684,1231.847783120425,,,,,,
B0103,1053.44856911309,,0.0,1395.01118401918,714.8175101757,,1057.8185714426857,915.6330728331528,472.26540318237016,,,,,,
B0105,617.9608168845295,4.41978747977676,,,136.891432454814,,,1174.2845946200014,,,,,,,
B0116,0.0,791.004224411417,,892.089881981708,,,,,1091.13850733971,,,,,,
B0128,1023.6750213995978,712.8320094646995,,,,,,1340.89784745569,,,,,,,
B0140,709.648541165074,136.912143573448,,812.7693604755523,,,,,,,,,,279.786650782268,
B0142,383.66682327584095,563.7362947050772,,,1387.42081033075,,,753.0559540762575,,,,,,,
B0152,0.0,889.5735800110707,,,750.066019475417,,,1002.587239098382,,756.937181905718,,,,,
B0158,931.972450538624,810.219753196719,,,720.2111806721138,,1031.699552876767,813.42903496976,,,,,,,
B0163,160.6478858748019,799.7730138627085,,1189.56938482958,,,,,,,,,,,
F0001,1123.83106553029,,,,,165.480031411921,,1083.35232522183,831.6676756189132,,,,,,
F0003,887.410403737106,,,,1182.44050985482,,,836.8199643848525,310.4761137916363,,,,,,
